node_name,ICES_rect,abundance,biomass,bodymass,year
Gasterosteus,43G7,2.500668252924878,4.593588982893866,1.83694457572332,2019
Gasterosteus,44G7,0.5609677644307531,0.9601603114994013,1.71161405767002,2019
Gasterosteus,44G8,2.050478925698155,4.233569595721841,2.06467354658638,2019
Gasterosteus,45G7,0.9402182082760695,1.6967785522761158,1.80466463778364,2019
Gasterosteus,45G8,1.5470173981444018,3.061997888630657,1.97929117817513,2019
Gasterosteus,46G8,1.163690776250431,2.2078853692918003,1.8973127692959,2019
Gasterosteus,42G6,0.45337250001397045,0.8798741157042401,1.94073111112193,2020
Gasterosteus,42G7,0.0066474515595344305,0.013382915513515956,2.01324002042871,2020
Gasterosteus,43G7,4.787270765836851,6.802254913255216,1.42090457088782,2020
Gasterosteus,44G7,0.6402816801712559,0.8889488451871214,1.38837151322111,2020
Gasterosteus,44G8,4.856996875106935,6.323774392290761,1.30199268290687,2020
Gasterosteus,45G7,1.472548266445514,2.499474664150627,1.69738046698051,2020
Gasterosteus,45G8,3.1144668307900236,5.980753275070704,1.92031368449463,2020
Gasterosteus,46G8,1.426099274450526,2.156672566185165,1.51228782232999,2020
Gasterosteus,42G6,0.42360327218043403,0.5593157182680932,1.32037629310345,2021
Gasterosteus,42G7,0.45169867354522336,0.9083671485497602,2.01100247078502,2021
Gasterosteus,43G7,0.10874541844751046,0.18008935427933942,1.6560638310134,2021
Gasterosteus,44G7,0.32886476217530064,0.48261384599467283,1.46751461847839,2021
Gasterosteus,44G8,0.40610367020629556,0.8058341524642086,1.9843065,2021
Gasterosteus,45G7,0.10568183202254522,0.20291206818451443,1.92002792061011,2021
Gasterosteus,45G8,0.21909690726629663,0.441898635582888,2.0169095086577,2021
Gasterosteus,46G8,0.5750844420294167,1.0995211705572816,1.91192995358591,2021
Gasterosteus,42G6,0.6524568171748311,1.5099139128811612,2.31419746584787,2022
Gasterosteus,42G7,0.5737925695145939,1.171928102246439,2.04242467489226,2022
Gasterosteus,43G7,0.8206866456761674,1.691646025994007,2.0612569181021,2022
Gasterosteus,44G7,1.861818474956781,4.032162787953837,2.16571209395021,2022
Gasterosteus,44G8,2.1354237473029514,4.137130960481986,1.93738173311372,2022
Gasterosteus,45G7,0.2173108466448055,0.4717482636096971,2.17084545430339,2022
